	cusip	investmentDiscretion	nameOfIssuer	shrsOrPrnAmt	titleOfClass	value	votingAuthority
0	G0457F107	SOLE	ARCOS DORADOS HOLDINGS INC	['[sshPrnamt,3060500]', '[sshPrnamtType,SH]']	SHS CLASS -A -	24637	['[Sole,3060500]', '[Shared,0]', '[None,0]']
1	05329W102	SOLE	AUTONATION INC	['[sshPrnamt,1898717]', '[sshPrnamtType,SH]']	COM	80297	['[Sole,1898717]', '[Shared,0]', '[None,0]']
2	084670702	SOLE	BERKSHIRE HATHAWAY INC DEL	['[sshPrnamt,64349971]', '[sshPrnamtType,SH]']	CL B NEW	10725853	['[Sole,64349971]', '[Shared,0]', '[None,0]']
3	136375102	SOLE	CANADIAN NATL RY CO	['[sshPrnamt,17126874]', '[sshPrnamtType,SH]']	COM	1266190	['[Sole,17126874]', '[Shared,0]', '[None,0]']
4	149123101	SOLE	CATERPILLAR INC DEL	['[sshPrnamt,11260857]', '[sshPrnamtType,SH]']	COM	1044557	['[Sole,11260857]', '[Shared,0]', '[None,0]']
5	191241108	SOLE	COCA COLA FEMSA S A B DE C V	['[sshPrnamt,6214719]', '[sshPrnamtType,SH]']	SPON ADR REP L	445595	['[Sole,6214719]', '[Shared,0]', '[None,0]']
6	22822V101	SOLE	CROWN CASTLE INTL CORP NEW	['[sshPrnamt,5332900]', '[sshPrnamtType,SH]']	COM	503692	['[Sole,5332900]', '[Shared,0]', '[None,0]']
7	278865100	SOLE	ECOLAB INC	['[sshPrnamt,4366426]', '[sshPrnamtType,SH]']	COM	547288	['[Sole,4366426]', '[Shared,0]', '[None,0]']
8	31428X106	SOLE	FEDEX CORP	['[sshPrnamt,3024999]', '[sshPrnamtType,SH]']	COM	590329	['[Sole,3024999]', '[Shared,0]', '[None,0]']
9	40049J206	SOLE	GRUPO TELEVISA SA	['[sshPrnamt,16879104]', '[sshPrnamtType,SH]']	SPON ADR REP ORD	437844	['[Sole,16879104]', '[Shared,0]', '[None,0]']
10	G5480U104	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,2119515]', '[sshPrnamtType,SH]']	SHS CL A	76027	['[Sole,2119515]', '[Shared,0]', '[None,0]']
11	G5480U120	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,3639349]', '[sshPrnamtType,SH]']	SHS CL C	127523	['[Sole,3639349]', '[Shared,0]', '[None,0]']
12	G5480U138	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,370424]', '[sshPrnamtType,SH]']	LILAC SHS CL A	8238	['[Sole,370424]', '[Shared,0]', '[None,0]']
13	G5480U153	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,636044]', '[sshPrnamtType,SH]']	LILAC SHS CL C	14654	['[Sole,636044]', '[Shared,0]', '[None,0]']
14	911312106	SOLE	UNITED PARCEL SERVICE INC	['[sshPrnamt,4525329]', '[sshPrnamtType,SH]']	CL B	485568	['[Sole,4525329]', '[Shared,0]', '[None,0]']
15	931142103	SOLE	WAL-MART STORES INC	['[sshPrnamt,11603000]', '[sshPrnamtType,SH]']	COM	836344	['[Sole,11603000]', '[Shared,0]', '[None,0]']
16	931427108	SOLE	WALGREENS BOOTS ALLIANCE INC	['[sshPrnamt,3475398]', '[sshPrnamtType,SH]']	COM	288632	['[Sole,3475398]', '[Shared,0]', '[None,0]']
17	94106L109	SOLE	WASTE MGMT INC DEL	['[sshPrnamt,18633672]', '[sshPrnamtType,SH]']	COM	1358767	['[Sole,18633672]', '[Shared,0]', '[None,0]']
