	cusip	investmentDiscretion	nameOfIssuer	shrsOrPrnAmt	titleOfClass	value	votingAuthority
0	G0457F107	SOLE	ARCOS DORADOS HOLDINGS INC	['[sshPrnamt,3060500]', '[sshPrnamtType,SH]']	SHS CLASS -A -	30850	['[Sole,3060500]', '[Shared,0]', '[None,0]']
1	05329W102	SOLE	AUTONATION INC	['[sshPrnamt,1898716]', '[sshPrnamtType,SH]']	COM	101069	['[Sole,1898716]', '[Shared,0]', '[None,0]']
2	084670702	SOLE	BERKSHIRE HATHAWAY INC DEL	['[sshPrnamt,77039804]', '[sshPrnamtType,SH]']	CL B NEW	9627664	['[Sole,77039804]', '[Shared,0]', '[None,0]']
3	055622104	SOLE	BP PLC	['[sshPrnamt,7315267]', '[sshPrnamtType,SH]']	SPONSORED ADR	351864	['[Sole,7315267]', '[Shared,0]', '[None,0]']
4	136375102	SOLE	CANADIAN NATL RY CO	['[sshPrnamt,17126874]', '[sshPrnamtType,SH]']	COM	962873	['[Sole,17126874]', '[Shared,0]', '[None,0]']
5	149123101	SOLE	CATERPILLAR INC	['[sshPrnamt,11260857]', '[sshPrnamtType,SH]']	COM	1118991	['[Sole,11260857]', '[Shared,0]', '[None,0]']
6	191216100	SOLE	COCA COLA CO	['[sshPrnamt,34002000]', '[sshPrnamtType,SH]']	COM	1314517	['[Sole,34002000]', '[Shared,0]', '[None,0]']
7	191241108	SOLE	COCA COLA FEMSA SAB	['[sshPrnamt,6214719]', '[sshPrnamtType,SH]']	SPON ADR REP L	655777	['[Sole,6214719]', '[Shared,0]', '[None,0]']
8	228227104	SOLE	CROWN CASTLE INTL CORP	['[sshPrnamt,5332900]', '[sshPrnamtType,SH]']	COM	393461	['[Sole,5332900]', '[Shared,0]', '[None,0]']
9	278865100	SOLE	ECOLAB INC	['[sshPrnamt,4366425]', '[sshPrnamtType,SH]']	COM	471530	['[Sole,4366425]', '[Shared,0]', '[None,0]']
10	30231G102	SOLE	EXXON MOBIL CORP	['[sshPrnamt,8143858]', '[sshPrnamtType,SH]']	COM	795492	['[Sole,8143858]', '[Shared,0]', '[None,0]']
11	31428X106	SOLE	FEDEX CORP	['[sshPrnamt,3024999]', '[sshPrnamtType,SH]']	COM	400994	['[Sole,3024999]', '[Shared,0]', '[None,0]']
12	40049J206	SOLE	GRUPO TELEVISA SA	['[sshPrnamt,16879103]', '[sshPrnamtType,SH]']	SPON ADR REP ORD	561905	['[Sole,16879103]', '[Shared,0]', '[None,0]']
13	G5480U104	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,2119515]', '[sshPrnamtType,SH]']	SHS CL A	88172	['[Sole,2119515]', '[Shared,0]', '[None,0]']
14	G5480U120	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,3532529]', '[sshPrnamtType,SH]']	SHS CL C	143809	['[Sole,3532529]', '[Shared,0]', '[None,0]']
15	580135101	SOLE	MCDONALDS CORP	['[sshPrnamt,10872500]', '[sshPrnamtType,SH]']	COM	1065831	['[Sole,10872500]', '[Shared,0]', '[None,0]']
16	760759100	SOLE	REPUBLIC SVCS INC	['[sshPrnamt,1350000]', '[sshPrnamtType,SH]']	COM	46116	['[Sole,1350000]', '[Shared,0]', '[None,0]']
17	882904105	SOLE	THAI FUND INC	['[sshPrnamt,274254]', '[sshPrnamtType,SH]']	COM	2970	['[Sole,274254]', '[Shared,0]', '[None,0]']
18	931142103	SOLE	WAL-MART STORES INC	['[sshPrnamt,11603000]', '[sshPrnamtType,SH]']	COM	886817	['[Sole,11603000]', '[Shared,0]', '[None,0]']
19	94106L109	SOLE	WASTE MGMT INC DEL	['[sshPrnamt,18633672]', '[sshPrnamtType,SH]']	COM	783919	['[Sole,18633672]', '[Shared,0]', '[None,0]']
