	cusip	investmentDiscretion	nameOfIssuer	shrsOrPrnAmt	titleOfClass	value	votingAuthority
0	G0457F107	SOLE	ARCOS DORADOS HOLDINGS INC	['[sshPrnamt,3060500]', '[sshPrnamtType,SH]']	SHS CLASS -A -	15088	['[Sole,3060500]', '[Shared,0]', '[None,0]']
1	05329W102	SOLE	AUTONATION INC	['[sshPrnamt,1898716]', '[sshPrnamtType,SH]']	COM	122144	['[Sole,1898716]', '[Shared,0]', '[None,0]']
2	084670702	SOLE	BERKSHIRE HATHAWAY INC	['[sshPrnamt,73625314]', '[sshPrnamtType,SH]']	CL B NEW	10625605	['[Sole,73625314]', '[Shared,0]', '[None,0]']
3	055622104	SOLE	BP PLC	['[sshPrnamt,7405614]', '[sshPrnamtType,SH]']	SPONSORED ADR	289634	['[Sole,7405614]', '[Shared,0]', '[None,0]']
4	136375102	SOLE	CANADIAN NATL RY CO	['[sshPrnamt,17126874]', '[sshPrnamtType,SH]']	COM	1145274	['[Sole,17126874]', '[Shared,0]', '[None,0]']
5	149123101	SOLE	CATERPILLAR INC	['[sshPrnamt,11260857]', '[sshPrnamtType,SH]']	COM	901206	['[Sole,11260857]', '[Shared,0]', '[None,0]']
6	191241108	SOLE	COCA COLA FEMSA SAB DE CV	['[sshPrnamt,6214719]', '[sshPrnamtType,SH]']	SPON ADR REP L	496307	['[Sole,6214719]', '[Shared,0]', '[None,0]']
7	22822V101	SOLE	CROWN CASTLE INTL CORP NEW	['[sshPrnamt,5332900]', '[sshPrnamtType,SH]']	COM	440178	['[Sole,5332900]', '[Shared,0]', '[None,0]']
8	278865100	SOLE	ECOLAB INC	['[sshPrnamt,4366425]', '[sshPrnamtType,SH]']	COM	499432	['[Sole,4366425]', '[Shared,0]', '[None,0]']
9	31428X106	SOLE	FEDEX CORP	['[sshPrnamt,3024999]', '[sshPrnamtType,SH]']	COM	500486	['[Sole,3024999]', '[Shared,0]', '[None,0]']
10	40049J206	SOLE	GRUPO TELEVISA SA	['[sshPrnamt,16879103]', '[sshPrnamtType,SH]']	SPON ADR REP ORD	557179	['[Sole,16879103]', '[Shared,0]', '[None,0]']
11	G5480U104	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,2119515]', '[sshPrnamtType,SH]']	SHS CL A	109091	['[Sole,2119515]', '[Shared,0]', '[None,0]']
12	G5480U120	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,3639349]', '[sshPrnamtType,SH]']	SHS CL C	181276	['[Sole,3639349]', '[Shared,0]', '[None,0]']
13	760759100	SOLE	REPUBLIC SVCS INC	['[sshPrnamt,1350000]', '[sshPrnamtType,SH]']	COM	54756	['[Sole,1350000]', '[Shared,0]', '[None,0]']
14	911312106	SOLE	UNITED PARCEL SERVICE INC	['[sshPrnamt,4525329]', '[sshPrnamtType,SH]']	CL B	438685	['[Sole,4525329]', '[Shared,0]', '[None,0]']
15	931142103	SOLE	WAL-MART STORES INC	['[sshPrnamt,11603000]', '[sshPrnamtType,SH]']	COM	954347	['[Sole,11603000]', '[Shared,0]', '[None,0]']
16	931427108	SOLE	WALGREENS BOOTS ALLIANCE INC	['[sshPrnamt,3475398]', '[sshPrnamtType,SH]']	COM	294297	['[Sole,3475398]', '[Shared,0]', '[None,0]']
17	94106L109	SOLE	WASTE MGNT INC DEL	['[sshPrnamt,18633672]', '[sshPrnamtType,SH]']	COM	1010504	['[Sole,18633672]', '[Shared,0]', '[None,0]']
