	cusip	investmentDiscretion	nameOfIssuer	shrsOrPrnAmt	titleOfClass	value	votingAuthority
0	G0457F107	SOLE	ARCOS DORADOS HOLDINGS INC	['[sshPrnamt,3060500]', '[sshPrnamtType,SH]']	SHS CLASS -A -	22801	['[Sole,3060500]', '[Shared,0]', '[None,0]']
1	05329W102	SOLE	AUTONATION INC	['[sshPrnamt,1898717]', '[sshPrnamtType,SH]']	COM	80050	['[Sole,1898717]', '[Shared,0]', '[None,0]']
2	084670702	SOLE	BERKSHIRE HATHAWAY INC DEL	['[sshPrnamt,59349971]', '[sshPrnamtType,SH]']	CL B NEW	10052105	['[Sole,59349971]', '[Shared,0]', '[None,0]']
3	136375102	SOLE	CANADIAN NATL RY CO	['[sshPrnamt,17126874]', '[sshPrnamtType,SH]']	COM	1388133	['[Sole,17126874]', '[Shared,0]', '[None,0]']
4	149123101	SOLE	CATERPILLAR INC DEL	['[sshPrnamt,11260857]', '[sshPrnamtType,SH]']	COM	1210092	['[Sole,11260857]', '[Shared,0]', '[None,0]']
5	191241108	SOLE	COCA COLA FEMSA S A B DE C V	['[sshPrnamt,6214719]', '[sshPrnamtType,SH]']	SPON ADR REP L	526200	['[Sole,6214719]', '[Shared,0]', '[None,0]']
6	22822V101	SOLE	CROWN CASTLE INTL CORP NEW	['[sshPrnamt,5332900]', '[sshPrnamtType,SH]']	COM	534250	['[Sole,5332900]', '[Shared,0]', '[None,0]']
7	278865100	SOLE	ECOLAB INC	['[sshPrnamt,4366426]', '[sshPrnamtType,SH]']	COM	579643	['[Sole,4366426]', '[Shared,0]', '[None,0]']
8	31428X106	SOLE	FEDEX CORP	['[sshPrnamt,3024999]', '[sshPrnamtType,SH]']	COM	657423	['[Sole,3024999]', '[Shared,0]', '[None,0]']
9	40049J206	SOLE	GRUPO TELEVISA SA	['[sshPrnamt,16879104]', '[sshPrnamtType,SH]']	SPON ADR REP ORD	411344	['[Sole,16879104]', '[Shared,0]', '[None,0]']
10	G5480U120	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,3639349]', '[sshPrnamtType,SH]']	SHS CL C	113475	['[Sole,3639349]', '[Shared,0]', '[None,0]']
11	G5480U104	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,2119515]', '[sshPrnamtType,SH]']	SHS CL A	68079	['[Sole,2119515]', '[Shared,0]', '[None,0]']
12	G5480U138	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,370424]', '[sshPrnamtType,SH]']	LILAC SHS CL A	8064	['[Sole,370424]', '[Shared,0]', '[None,0]']
13	G5480U153	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,636044]', '[sshPrnamtType,SH]']	LILAC SHS CL C	13618	['[Sole,636044]', '[Shared,0]', '[None,0]']
14	594918104	SOLE	MICROSOFT CORP	['[sshPrnamt,64000000]', '[sshPrnamtType,SH]']	COM	4411520	['[Sole,64000000]', '[Shared,0]', '[None,0]']
15	911312106	SOLE	UNITED PARCEL SERVICE INC	['[sshPrnamt,4525329]', '[sshPrnamtType,SH]']	CL B	500456	['[Sole,4525329]', '[Shared,0]', '[None,0]']
16	931142103	SOLE	WAL-MART STORES INC	['[sshPrnamt,11603000]', '[sshPrnamtType,SH]']	COM	878115	['[Sole,11603000]', '[Shared,0]', '[None,0]']
17	931427108	SOLE	WALGREENS BOOTS ALLIANCE INC	['[sshPrnamt,3475398]', '[sshPrnamtType,SH]']	COM	272158	['[Sole,3475398]', '[Shared,0]', '[None,0]']
18	94106L109	SOLE	WASTE MGMT INC DEL	['[sshPrnamt,18633672]', '[sshPrnamtType,SH]']	COM	1366780	['[Sole,18633672]', '[Shared,0]', '[None,0]']
